msisdn,imsi,allocation_date,sim_type
6749993013,5.3603E+14,27-11-2024,micro-SIM
6749993014,5.3603E+14,27-11-2024,micro-SIM
6742227001,5.3603E+14,27-12-2024,micro-SIM
6749993016,5.3603E+14,30-11-2024,micro-SIM
6749990000,5.3603E+14,30-11-2024,micro-SIM
6749993019,5.3603E+14,03-12-2024,micro-SIM
6749990010,5.3603E+14,09-12-2024,micro-SIM
6749990011,5.3603E+14,09-12-2024,micro-SIM
6749990012,5.3603E+14,09-12-2024,micro-SIM
6749990013,5.3603E+14,09-12-2024,micro-SIM
6749990014,5.3603E+14,09-12-2024,micro-SIM
6749990015,5.3603E+14,09-12-2024,micro-SIM
6749990016,5.3603E+14,09-12-2024,micro-SIM
6749990017,5.3603E+14,09-12-2024,micro-SIM
6749990018,5.3603E+14,09-12-2024,micro-SIM
6749990019,5.3603E+14,09-12-2024,micro-SIM
6749990020,5.3603E+14,09-12-2024,micro-SIM
6749990021,5.3603E+14,17-01-2025,micro-SIM
6742220011,5.3603E+14,09-12-2024,micro-SIM
6749990301,5.3603E+14,\N,e-SIM
6749990302,5.3603E+14,\N,micro-SIM
6749990303,5.3603E+14,\N,micro-SIM
6749990304,5.3603E+14,\N,micro-SIM
6749990305,5.3603E+14,\N,micro-SIM
6749990306,5.3603E+14,\N,micro-SIM
6749990307,5.3603E+14,\N,micro-SIM
6749990308,5.3603E+14,\N,micro-SIM
6749990309,5.3603E+14,\N,micro-SIM
6749990310,5.3603E+14,\N,micro-SIM
6749990311,5.3603E+14,\N,micro-SIM
6749990312,5.3603E+14,\N,micro-SIM
6749990313,5.3603E+14,\N,micro-SIM
6749990314,5.3603E+14,\N,micro-SIM
6749990315,5.3603E+14,\N,micro-SIM
6749990316,5.3603E+14,\N,micro-SIM
6749990317,5.3603E+14,\N,micro-SIM
6749990318,5.3603E+14,\N,micro-SIM
6749990319,5.3603E+14,\N,micro-SIM
6749990320,5.3603E+14,\N,micro-SIM
6749990321,5.3603E+14,\N,micro-SIM
6749990322,5.3603E+14,\N,micro-SIM
6749990323,5.3603E+14,\N,micro-SIM
6749990324,5.3603E+14,\N,micro-SIM
6749990325,5.3603E+14,\N,micro-SIM
6749990326,5.3603E+14,\N,micro-SIM
6749990327,5.3603E+14,\N,micro-SIM
6749990328,5.3603E+14,\N,micro-SIM
6749990329,5.3603E+14,\N,micro-SIM
6749990330,5.3603E+14,\N,micro-SIM
6749990331,5.3603E+14,\N,micro-SIM
6749990332,5.3603E+14,\N,micro-SIM
6749990333,5.3603E+14,\N,micro-SIM
6749990334,5.3603E+14,\N,micro-SIM
6749990335,5.3603E+14,\N,micro-SIM
6749990336,5.3603E+14,\N,micro-SIM
6749990337,5.3603E+14,\N,micro-SIM
6749990338,5.3603E+14,\N,micro-SIM
6749990339,5.3603E+14,\N,micro-SIM
6749990340,5.3603E+14,\N,micro-SIM
6749990341,5.3603E+14,\N,micro-SIM
6749990342,5.3603E+14,\N,micro-SIM
6749990343,5.3603E+14,\N,micro-SIM
6749990344,5.3603E+14,\N,micro-SIM
